wmo,regiao,uf,estacao,latitude,longitude,altitude,data_de_fundacao,source_file
A330,NE,PI,PAULISTANA,"-8,132288","-41,142945",376,31/08/07,inmet_NE_PI_A330_PAULISTANA_01-01-2024_A_31-12-2024_dados.csv
A331,NE,PI,SAO JOAO DO PIAUI,"-8,36444444","-42,2525",231,26/08/07,inmet_NE_PI_A331_SAO-JOAO-DO-PIAUI_01-01-2024_A_31-12-2024_dados.csv
A335,NE,PI,PIRIPIRI,"-4,2761111","-41,79444444","157,89",31/08/07,inmet_NE_PI_A335_PIRIPIRI_01-01-2024_A_31-12-2024_dados.csv
A336,NE,PI,ALVORADA DO GURGUEIA,"-8,37638888","-43,85944444",225,17/11/07,inmet_NE_PI_A336_ALVORADA-DO-GURGUEIA_01-01-2024_A_31-12-2024_dados.csv
A337,NE,PI,CARACOL,"-9,28583333","-43,32444443","515,3",10/11/07,inmet_NE_PI_A337_CARACOL_01-01-2024_A_31-12-2024_dados.csv
A346,NE,PI,URUCUI,"-7,44138888","-44,34499999","398,83",06/03/08,inmet_NE_PI_A346_URUCUI_01-01-2024_A_31-12-2024_dados.csv
A354,NE,PI,OEIRAS,"-6,97416666","-42,14694444","154,03",22/07/08,inmet_NE_PI_A354_OEIRAS_01-01-2024_A_31-12-2024_dados.csv
A363,NE,PI,VALENCA DO PIAUI,"-6,4236111","-41,74888888",372,18/04/09,inmet_NE_PI_A363_VALENCA-DO-PIAUI_01-01-2024_A_31-12-2024_dados.csv
A364,NE,PI,GILBUES,"-9,87527777","-45,34583333","425,1",16/05/09,inmet_NE_PI_A364_GILBUES_01-01-2024_A_31-12-2024_dados.csv
A374,NE,PI,CORRENTE,"-10,42916666","-45,17305554",452,28/03/18,inmet_NE_PI_A374_CORRENTE_01-01-2024_A_31-12-2024_dados.csv
A304,NE,RN,NATAL,"-5,83722221","-35,20805555","47,46",24/02/03,inmet_NE_RN_A304_NATAL_01-01-2024_A_31-12-2024_dados.csv
A316,NE,RN,CAICO,"-6,46749999","-37,08499999","171,26",07/01/07,inmet_NE_RN_A316_CAICO_01-01-2024_A_31-12-2024_dados.csv
A318,NE,RN,MOSSORO,"-4,90416666","-37,36694443","29,44",22/05/07,inmet_NE_RN_A318_MOSSORO_01-01-2024_A_31-12-2024_dados.csv
A344,NE,RN,CALCANHAR,"-5,16","-35,48749999","9,82",08/05/08,inmet_NE_RN_A344_CALCANHAR_01-01-2024_A_31-12-2024_dados.csv
A367,NE,RN,SANTA CRUZ,"-6,22805554","-36,02666666","227,49",17/08/10,inmet_NE_RN_A367_SANTA-CRUZ_01-01-2024_A_31-12-2024_dados.csv
A372,NE,RN,IPANGUACU,"-5,53499999","-36,87222221",19,08/11/17,inmet_NE_RN_A372_IPANGUACU_01-01-2024_A_31-12-2024_dados.csv
A409,NE,SE,ARACAJU,"-10,9525","-37,05444444","3,72",12/02/03,inmet_NE_SE_A409_ARACAJU_01-01-2024_A_31-12-2024_dados.csv
A417,NE,SE,ITABAIANINHA,"-11,27249999","-37,79499999","204,8",23/05/07,inmet_NE_SE_A417_ITABAIANINHA_01-01-2024_A_31-12-2024_dados.csv
A421,NE,SE,BREJO GRANDE,"-10,47388888","-36,48194443","6,11",17/07/08,inmet_NE_SE_A421_BREJO-GRANDE_01-01-2024_A_31-12-2024_dados.csv
A453,NE,SE,NOSSA SENHORA DA GLORIA,"-10,20777777","-37,43194443",271,24/03/17,inmet_NE_SE_A453_NOSSA-SENHORA-DA-GLORIA_01-01-2024_A_31-12-2024_dados.csv
A104,N,AC,RIO BRANCO,"-9,95920402","-67,86898266",163,11/07/08,inmet_N_AC_A104_RIO-BRANCO_01-01-2024_A_31-12-2024_dados.csv
A108,N,AC,CRUZEIRO DO SUL,"-7,61055555","-72,6811111",220,14/05/15,inmet_N_AC_A108_CRUZEIRO-DO-SUL_01-01-2024_A_31-12-2024_dados.csv
A138,N,AC,FEIJO,"-8,14277777","-70,3436111","157,17",24/09/09,inmet_N_AC_A138_FEIJO_01-01-2024_A_31-12-2024_dados.csv
A140,N,AC,EPITACIOLANDIA,"-11,02388888","-68,73527777","224,5",25/09/09,inmet_N_AC_A140_EPITACIOLANDIA_01-01-2024_A_31-12-2024_dados.csv
A101,N,AM,MANAUS,"-3,10333333","-60,01638888","61,25",09/05/00,inmet_N_AM_A101_MANAUS_01-01-2024_A_31-12-2024_dados.csv
A110,N,AM,BOCA DO ACRE,"-8,77666666","-67,33249999","111,98",15/07/08,inmet_N_AM_A110_BOCA-DO-ACRE_01-01-2024_A_31-12-2024_dados.csv
A112,N,AM,HUMAITA,"-7,5525","-63,07138888","53,56",25/04/08,inmet_N_AM_A112_HUMAITA_01-01-2024_A_31-12-2024_dados.csv
A119,N,AM,MANACAPURU,"-3,29472221","-60,62833332","36,57",10/04/08,inmet_N_AM_A119_MANACAPURU_01-01-2024_A_31-12-2024_dados.csv
A125,N,AM,RIO URUBU,"-2,6336111","-59,60055555","112,84",26/06/08,inmet_N_AM_A125_RIO-URUBU_01-01-2024_A_31-12-2024_dados.csv
A128,N,AM,BARCELOS,"-,98722221","-62,92416666","29,88",19/04/08,inmet_N_AM_A128_BARCELOS_01-01-2024_A_31-12-2024_dados.csv
A133,N,AM,MANICORE,"-5,7886111","-61,28833333","40,64",12/12/11,inmet_N_AM_A133_MANICORE_01-01-2024_A_31-12-2024_dados.csv
